,date,cdb5y,cdb10y,loan5y,basis5y,basis10y,cdb5y_ma30,cdb10y_ma30,basis5y_ma30,basis10y_ma30,cdb5y_ma90,cdb10y_ma90,basis5y_ma90,basis10y_ma90,cdb5y_ma180,cdb10y_ma180,basis5y_ma180,basis10y_ma180,cdb5y_ma360,cdb10y_ma360,basis5y_ma360,basis10y_ma360,cdb5y_ma1800,cdb10y_ma1800,basis5y_ma1800,basis10y_ma1800
5432,2016-11-15,3.1562,3.1815,4.9,1.7438000000000002,1.7185000000000001,2.973519999999977,3.091049999999995,1.9264800000000233,1.8089500000000052,2.96310444444445,3.098570000000006,1.9368955555555503,1.8014299999999945,3.0212444444444517,3.159363888888881,1.8787555555555486,1.7406361111111193,3.060030555555559,3.201025277777778,1.8399694444444412,1.6989747222222222,4.017933888888899,4.2062332222222265,0.8820661111111017,0.6937667777777738
5433,2016-11-16,3.1595,3.1995,4.9,1.7405000000000004,1.7005000000000003,2.982219999999977,3.096676666666662,1.9177800000000236,1.8033233333333385,2.9654122222222274,3.0997722222222284,1.934587777777773,1.800227777777772,3.020725555555563,3.1585033333333246,1.8792744444444374,1.7414966666666758,3.05931166666667,3.2001297222222225,1.8406883333333304,1.6998702777777779,4.017680944444455,4.205773888888892,0.8823190555555458,0.6942261111111083
5434,2016-11-17,3.2012,3.2396,4.9,1.6988000000000003,1.6604000000000005,2.9923366666666436,3.103556666666662,1.9076633333333568,1.7964433333333383,2.9678922222222273,3.1010511111111168,1.932107777777773,1.7989488888888836,3.020438333333341,3.1578655555555466,1.8795616666666595,1.7421344444444538,3.058694444444448,3.1993347222222233,1.8413055555555524,1.700665277777777,4.017449555555566,4.2053325000000035,0.8825504444444343,0.6946674999999969
5435,2016-11-18,3.1937,3.2365,4.9,1.7063000000000001,1.6635000000000004,3.0026066666666438,3.110669999999996,1.8973933333333566,1.7893300000000045,2.9702888888888936,3.102295555555561,1.9297111111111067,1.7977044444444394,3.0201094444444525,3.157210555555546,1.8798905555555478,1.7427894444444543,3.0581069444444484,3.1986072222222233,1.841893055555552,1.701392777777777,4.017213111111121,4.204895055555559,0.8827868888888792,0.6951049444444415
5436,2016-11-19,3.1937,3.2365,4.9,1.7063000000000001,1.6635000000000004,3.0131533333333107,3.118033333333329,1.8868466666666897,1.7819666666666714,2.97268555555556,3.103540000000005,1.9273144444444403,1.7964599999999953,3.0197594444444524,3.1565088888888795,1.880240555555548,1.7434911111111209,3.0575627777777816,3.1979283333333344,1.8424372222222187,1.702071666666666,4.016981166666676,4.204462555555559,0.883018833333324,0.6955374444444411
5437,2016-11-20,3.1937,3.2365,4.9,1.7063000000000001,1.6635000000000004,3.023559999999977,3.1253933333333292,1.8764400000000232,1.774606666666671,2.975076666666671,3.104902222222227,1.9249233333333295,1.7950977777777735,3.019508333333342,3.156006666666657,1.8804916666666585,1.7439933333333433,3.0571172222222263,3.1973188888888897,1.842882777777774,1.7026811111111106,4.016749222222232,4.204030055555559,0.8832507777777687,0.6959699444444416
5438,2016-11-21,3.1846,3.223,4.9,1.7154000000000003,1.6770000000000005,3.0336633333333105,3.1323033333333297,1.8663366666666898,1.7676966666666707,2.9772588888888927,3.105605555555561,1.9227411111111077,1.7943944444444395,3.019278333333342,3.155531666666657,1.8807216666666582,1.7444683333333435,3.0566441666666706,3.1966922222222234,1.8433558333333298,1.703307777777777,4.016512222222231,4.2035900555555585,0.883487777777769,0.6964099444444418
5439,2016-11-22,3.1767,3.213,4.9,1.7233000000000005,1.6870000000000003,3.0435033333333106,3.138879999999996,1.8564966666666898,1.7611200000000045,2.978963333333337,3.106027777777783,1.9210366666666632,1.7939722222222172,3.01897611111112,3.154903888888879,1.8810238888888802,1.7450961111111214,3.0561491666666707,3.196037777777779,1.8438508333333297,1.7039622222222213,4.016276055555564,4.203146277777781,0.8837239444444362,0.6968537222222198
5440,2016-11-23,3.1641,3.1919,4.9,1.7359000000000004,1.7081000000000004,3.0522933333333104,3.1435866666666628,1.84770666666669,1.7564133333333376,2.980511111111115,3.10630444444445,1.9194888888888855,1.7936955555555505,3.0185761111111202,3.1540866666666565,1.8814238888888801,1.7459133333333439,3.0556191666666703,3.1953247222222236,1.84438083333333,1.7046752777777767,4.016036055555564,4.202693166666669,0.883963944444436,0.6973068333333314
5441,2016-11-24,3.1607,3.1968,4.9,1.7393000000000005,1.7032000000000003,3.0600333333333105,3.1479166666666623,1.8399666666666898,1.752083333333338,2.9823777777777813,3.106907777777783,1.917622222222219,1.7930922222222172,3.0181572222222313,3.153296666666656,1.881842777777769,1.7467033333333442,3.055151944444448,3.1946602777777793,1.8448480555555524,1.705339722222221,4.015785888888898,4.2022426666666695,0.8842141111111026,0.6977573333333309
